char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf
1,1,4125,ליידן,ר',,02,3,004,003,מעשרות,ד,נ
57,13,4150,ליידן,אוכלין,כגינה,01,2,009,003,מעשרות,א,נא
142,27,4164,ליידן,אמ',לקיש,03,1,001,004,מעשרות,ב,נא
125,26,4194,ליידן,אמ',לא,01,1,006,004,מעשרות,ג,נא
24,6,4205,ליידן,לזרע,בין,01,1,002,005,מעשרות,ד,נא
104,23,4228,ליידן,שהחמיץ,והוא,01,1,006,005,מעשרות,א,נב
1,1,4254,ליידן,"""מעשר",,01,1,001,001,מעשר שני,ב,נב
55,10,4264,ליידן,אל,למשכנו,11,1,001,001,מעשר שני,ג,נב
84,18,4291,ליידן,אמרין,הוינן,02,4,002,001,מעשר שני,ד,נב
83,17,4315,ליידן,"""בבקר",כלל,03,1,007,001,מעשר שני,א,נג
1,1,4324,ליידן,"""מעשר",,01,1,001,002,מעשר שני,ב,נג
72,13,4350,ליידן,לשיני'',השבח,02,6,001,002,מעשר שני,ג,נג
9,3,4377,ליידן,אילו,י',01,1,009,002,מעשר שני,ד,נג
1,1,4381,ליידן,"""לא",,01,1,001,003,מעשר שני,א,נד
85,20,4409,ליידן,מנא,ר',02,1,006,003,מעשר שני,ב,נד
1,1,4435,ליידן,הל',,01,1,010,003,מעשר שני,ג,נד
1,1,4445,ליידן,"""המוליך",,01,1,001,004,מעשר שני,ד,נד
68,14,4471,ליידן,בין,מה,05,2,003,004,מעשר שני,א,נה
259,55,4495,ליידן,בכולן,או',04,1,007,004,מעשר שני,ב,נה
46,11,4524,ליידן,ליה,אמ',15,1,012,004,מעשר שני,ג,נה
1,1,4534,ליידן,"""כרם",,01,1,001,005,מעשר שני,ד,נה
220,42,4550,ליידן,ברם,לרמאין,02,4,001,005,מעשר שני,א,נו
169,30,4577,ליידן,לבעלין,רביעית,16,1,003,005,מעשר שני,ב,נו
34,8,4603,ליידן,דעקיבה,מרצעה,19,1,006,005,מעשר שני,ג,נו
133,28,4626,ליידן,שמעון,ור',02,1,013,005,מעשר שני,ד,נו
1,1,4647,ליידן,"""חמשה",,01,1,001,001,חלה,א,נז
205,45,4653,ליידן,החיטין,עם,07,1,001,001,חלה,ב,נז
125,22,4678,ליידן,ר',ואמ',05,3,001,001,חלה,ג,נז
128,28,4702,ליידן,פטור,בשבלין,01,3,003,001,חלה,ד,נז
99,19,4725,ליידן,תאמ',שלא,01,2,005,001,חלה,א,נח
1,1,4746,ליידן,"""פירות",,01,1,001,002,חלה,ב,נח
106,22,4758,ליידן,ומכבש,יש',03,1,002,002,חלה,ג,נח
118,25,4784,ליידן,ופליג,תלתא,01,1,006,002,חלה,ד,נח
1,1,4796,ליידן,"""אוכלין",,01,1,001,003,חלה,א,נט
1,1,4819,ליידן,תני,,02,1,005,003,חלה,ב,נט
150,31,4842,ליידן,ואם,והתנינן,05,2,008,003,חלה,ג,נט
1,1,4855,ליידן,"""שתי",,01,1,001,004,חלה,ד,נט
79,14,4872,ליידן,קולו,עקיבה,01,1,005,004,חלה,א,ס
222,46,4895,ליידן,דתני,כהדא,03,5,008,004,חלה,ב,ס
1,1,4924,ליידן,"""הנוטע",,01,1,001,001,ערלה,ג,ס
53,11,4934,ליידן,אית,הדס,11,1,001,001,ערלה,ד,ס
91,16,4957,ליידן,אין,לארץ,01,3,002,001,ערלה,א,סא
37,10,4981,ליידן,חנינה,ר',02,2,005,001,ערלה,ב,סא
6,2,5006,ליידן,שרף,למה,01,4,007,001,ערלה,ג,סא
1,1,5013,ליידן,"""התרומה",,01,1,001,002,ערלה,ד,סא
164,33,5034,ליידן,תרומת,כגון,01,4,001,002,ערלה,א,סב
163,34,5061,ליידן,נתחמצה,כבר,04,1,008,002,ערלה,ב,סב
60,12,5085,ליידן,בשם,ירמיה,09,1,011,002,ערלה,ג,סב
1,1,5102,ליידן,"""בגד",,01,1,001,003,ערלה,ד,סב
49,9,5126,ליידן,מין,חולין,25,1,001,003,ערלה,א,סג
