char_pos,word_pos,file_line,origin,word_after,word_before,line,mikta,halacha,chapter,masechet_he,amud,daf,system_line
1,1,4534,ליידן,"""כרם",,01,1,001,005,מעשר שני,ד,נה,00281
220,42,4550,ליידן,ברם,לרמאין,02,4,001,005,מעשר שני,א,נו,00297
169,30,4577,ליידן,לבעלין,רביעית,16,1,003,005,מעשר שני,ב,נו,00324
34,8,4603,ליידן,דעקיבה,מרצעה,19,1,006,005,מעשר שני,ג,נו,00350
133,28,4626,ליידן,שמעון,ור',02,1,013,005,מעשר שני,ד,נו,00373
1,1,4647,ליידן,"""חמשה",,01,1,001,001,חלה,א,נז,00001
205,45,4653,ליידן,החיטין,עם,07,1,001,001,חלה,ב,נז,00007
125,22,4678,ליידן,ר',ואמ',05,3,001,001,חלה,ג,נז,00032
128,28,4702,ליידן,פטור,בשבלין,01,3,003,001,חלה,ד,נז,00056
99,19,4725,ליידן,תאמ',שלא,01,2,005,001,חלה,א,נח,00079
1,1,4746,ליידן,"""פירות",,01,1,001,002,חלה,ב,נח,00100
106,22,4758,ליידן,ומכבש,יש',03,1,002,002,חלה,ג,נח,00112
118,25,4784,ליידן,ופליג,תלתא,01,1,006,002,חלה,ד,נח,00138
1,1,4796,ליידן,"""אוכלין",,01,1,001,003,חלה,א,נט,00150
1,1,4819,ליידן,תני,,02,1,005,003,חלה,ב,נט,00173
150,31,4842,ליידן,ואם,והתנינן,05,2,008,003,חלה,ג,נט,00196
1,1,4855,ליידן,"""שתי",,01,1,001,004,חלה,ד,נט,00209
79,14,4872,ליידן,קולו,עקיבה,01,1,005,004,חלה,א,ס,00226
222,46,4895,ליידן,דתני,כהדא,03,5,008,004,חלה,ב,ס,00249
1,1,4924,ליידן,"""הנוטע",,01,1,001,001,ערלה,ג,ס,00001
53,11,4934,ליידן,אית,הדס,11,1,001,001,ערלה,ד,ס,00011
91,16,4957,ליידן,אין,לארץ,01,3,002,001,ערלה,א,סא,00034
37,10,4981,ליידן,חנינה,ר',02,2,005,001,ערלה,ב,סא,00058
6,2,5006,ליידן,שרף,למה,01,4,007,001,ערלה,ג,סא,00083
1,1,5013,ליידן,"""התרומה",,01,1,001,002,ערלה,ד,סא,00090
164,33,5034,ליידן,תרומת,כגון,01,4,001,002,ערלה,א,סב,00111
163,34,5061,ליידן,נתחמצה,כבר,04,1,008,002,ערלה,ב,סב,00138
60,12,5085,ליידן,בשם,ירמיה,09,1,011,002,ערלה,ג,סב,00162
1,1,5102,ליידן,"""בגד",,01,1,001,003,ערלה,ד,סב,00179
49,9,5126,ליידן,מין,חולין,25,1,001,003,ערלה,א,סג,00203
179,39,5148,ליידן,בכל,ודאי,02,1,007,003,ערלה,ב,סג,00225
1,1,5177,ליידן,"""יש",,01,1,001,001,בכורים,ג,סג,00001
113,24,5181,ליידן,בכורי,"""ראשית",04,1,001,001,בכורים,ד,סג,00005
1,1,5203,ליידן,הלכ'2,,01,1,004,001,בכורים,א,סד,00027
85,19,5225,ליידן,ר',תנחומא,06,2,005,001,בכורים,ב,סד,00049
1,1,5245,ליידן,"""התרומה",,01,1,001,002,בכורים,ג,סד,00069
135,23,5251,ליידן,שנה,שמונים,07,1,001,002,בכורים,ד,סד,00075
116,20,5274,ליידן,ואף,לזרים,01,5,002,002,בכורים,א,סה,00098
90,17,5299,ליידן,מעוברת,שנה,04,1,006,002,בכורים,ב,סה,00123
1,1,5311,ליידן,"""כיצד",,01,1,001,003,בכורים,ג,סה,00135
65,14,5337,ליידן,והלא,שמה,16,6,003,003,בכורים,ד,סה,00161
1,1,5365,ליידן,"""יציאות",,01,1,001,001,שבת,ב,ב,00001
1,1,5379,ליידן,ר',,13,1,001,001,שבת,ג,ב,00015
44,10,5400,ליידן,עשרה,גבוה,02,2,001,001,שבת,ד,ב,00036
85,16,5426,ליידן,ארבעה,ורחבה,17,3,001,001,שבת,א,ג,00062
18,5,5449,ליידן,כדעתיה,יוחי,05,6,002,001,שבת,ב,ג,00085
177,37,5466,ליידן,שלא,לומ',01,5,003,001,שבת,ג,ג,00102
13,3,5488,ליידן,ר',אמ',13,1,004,001,שבת,ד,ג,00124
247,48,5508,ליידן,מתרפא,והיא,03,1,005,001,שבת,א,ד,00144
203,39,5531,ליידן,"פעמים""",שבע,07,1,007,001,שבת,ב,ד,00167
1,1,5548,ליידן,"""במה",,01,1,001,002,שבת,ג,ד,00184
42,9,5566,ליידן,שלכהן,כליו,09.1,3,001,002,שבת,ד,ד,00201
130,25,5588,ליידן,בשם,לעזר,08,1,003,002,שבת,א,ה,00224
158,30,5607,ליידן,והרי,שחיטה,14,1,005,002,שבת,ב,ה,00243
97,20,5630,ליידן,כליו,נפלו,01.1,3,007,002,שבת,ג,ה,00265
178,36,5641,ליידן,כל,קטם,07,1,001,003,שבת,ד,ה,00277
7,2,5661,ליידן,דר',אתייא,04,1,003,003,שבת,א,ו,00297
1,1,5681,ליידן,מתני',,01,1,005,003,שבת,ב,ו,00317
26,6,5704,ליידן,כל,דמר,06,2,006,003,שבת,ג,ו,00340
1,1,5724,ליידן,"""במה",,01,1,001,004,שבת,ד,ו,00360
16,4,5743,ליידן,נחיל,הושעיה,03,2,002,004,שבת,א,ז,00379
1,1,5758,ליידן,"""במה",,01,1,001,005,שבת,ב,ז,00394
24,5,5779,ליידן,לקישושות,סולם,02.1,1,004,005,שבת,ג,ז,00414
1,1,5790,ליידן,"""במה",,01,1,001,006,שבת,ד,ז,00426
119,25,5808,ליידן,לא,שאמרו,01,4,001,006,שבת,א,ח,00444
135,27,5829,ליידן,פגומה,שלימין,02.1,3,002,006,שבת,ב,ח,00464
26,6,5854,ליידן,דאודניה,עודדיה,03,1,005,006,שבת,ג,ח,00490
181,39,5880,ליידן,ואמ',כלום,09,1,010,006,שבת,ד,ח,00516
147,29,5890,ליידן,ומעשרות,בהמה,01.1,1,001,007,שבת,א,ט,00525
13,4,5911,ליידן,בשם,זעירא,14,1,001,007,שבת,ב,ט,00547
23,6,5931,ליידן,לקיש,בן,04,1,002,007,שבת,ג,ט,00567
156,32,5952,ליידן,בערירי,לידון,09,2,002,007,שבת,ד,ט,00588
104,19,5974,ליידן,המפעפע,המרבץ,05,3,002,007,שבת,א,י,00610
157,34,5999,ליידן,ודלא,הכין,08.1,5,002,007,שבת,ב,י,00634
144,27,6025,ליידן,חייב,התולש,03,8,002,007,שבת,ג,י,00661
13,4,6053,ליידן,גדולה,אחת,01,18,002,007,שבת,ד,י,00689
1,1,6070,ליידן,"""המוציא",,01,1,001,008,שבת,א,יא,00706
202,39,6088,ליידן,אבל,טומאתו,18,1,001,008,שבת,ב,יא,00724
127,26,6121,ליידן,דקיסרין,רבנן,01,2,006,008,שבת,ג,יא,00757
1,1,6134,ליידן,כתוב,,01,1,001,009,שבת,ד,יא,00770
134,22,6157,ליידן,''זרעיה'',אמ',02,2,002,009,שבת,א,יב,00793
143,31,6180,ליידן,דבר,זה,03,1,004,009,שבת,ב,יב,00816
5,2,6195,ליידן,חזקיה,ב',01,1,002,010,שבת,ג,יב,00831
148,31,6219,ליידן,הכין,אמ',03,1,006,010,שבת,ד,יב,00855
175,36,6231,ליידן,על,אלא,06,1,001,011,שבת,א,יג,00867
78,16,6254,ליידן,או',יהודה,04,1,005,011,שבת,ב,יג,00890
1,1,6266,ליידן,"""הבונה",,01,1,001,012,שבת,ג,יג,00902
1,1,6291,ליידן,תני,,07,1,003,012,שבת,ד,יג,00927
1,1,6311,ליידן,"""ר'",,01,1,001,013,שבת,א,יד,00947
72,14,6332,ליידן,אחד,היה,01,1,006,013,שבת,ב,יד,00968
92,18,6346,ליידן,שלמקום,שרחמים,10,1,001,014,שבת,ג,יד,00982
62,13,6371,ליידן,אמרה,מתנית',02,1,004,014,שבת,ד,יד,01007
155,32,6396,ליידן,הוה,ומה,26,1,004,014,שבת,א,טו,01032
62,13,6414,ליידן,לגדרו,וחשב,04,1,003,015,שבת,ב,טו,01050
